country,country_code,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet,percentage,category
Albania                         ,ALB,2017,2873457.0,4531.0,3607.1,3.952,1422.7,31.399249613771797,Expensive
Albania                         ,ALB,2018,2866376.0,5287.7,4182.9,4.051,1458.4,27.580989844355773,Medium
Albania                         ,ALB,2019,2854191.0,5396.2,4317.0,4.117,1482.1,27.465623957599796,Medium
Albania                         ,ALB,2020,2837849.0,5332.2,4294.8,4.197,1510.9,28.33539627170774,Medium
Algeria                         ,DZA,2017,41389174.0,4109.7,1749.2,3.763,1354.7,32.96347665279704,Expensive
Algeria                         ,DZA,2018,42228415.0,4142.0,1740.3,3.822,1375.9,33.21825205214872,Expensive
Algeria                         ,DZA,2019,43053054.0,3989.7,1729.4,3.796,1366.6,34.25320199513748,Expensive
Algeria                         ,DZA,2020,43851043.0,3306.9,1593.6,3.76,1353.6,40.93259548217363,Expensive
Angola                          ,AGO,2017,29816769.0,2313.2,1322.8,4.327,1557.7,67.33961611620268,Very Expensive
Angola                          ,AGO,2018,30809787.0,2524.9,1423.1,4.293,1545.5,61.210344964156995,Very Expensive
Angola                          ,AGO,2019,31825299.0,2177.8,1087.5,4.352,1566.7,71.93957204518321,Very Expensive
Angola                          ,AGO,2020,32866268.0,1631.4,926.8,4.534,1632.2,100.04903763638593,Very Expensive
Antigua and Barbuda             ,ATG,2017,95425.0,15383.6,9119.0,4.112,1480.3,9.62258509061598,Very Cheap
Antigua and Barbuda             ,ATG,2018,96282.0,16679.6,8874.4,4.302,1548.7,9.284994844001055,Very Cheap
Antigua and Barbuda             ,ATG,2019,97115.0,17376.6,8523.0,4.391,1580.8,9.097291760183236,Very Cheap
Antigua and Barbuda             ,ATG,2020,97928.0,13992.7,8409.1,4.504,1621.4,11.587470609675044,Cheap
Argentina                       ,ARG,2017,44044811.0,14613.0,9752.7,3.341,1202.8,8.231027167590502,Very Cheap
Armenia                         ,ARM,2017,2944789.0,3914.5,3132.8,3.096,1114.6,28.47362370673138,Medium
Armenia                         ,ARM,2018,2951741.0,4220.5,3368.0,3.166,1139.8,27.006278876910315,Medium
Armenia                         ,ARM,2019,2957728.0,4604.6,3842.1,3.237,1165.3,25.307301394257912,Medium
Armenia                         ,ARM,2020,2963234.0,4266.0,3216.4,3.247,1168.9,27.40037505860291,Medium
Aruba                           ,ABW,2017,105361.0,29348.4,16182.7,3.418,1230.5,4.192732823595153,Very Cheap
Aruba                           ,ABW,2018,105846.0,30253.7,16847.5,3.62,1303.2,4.307572296942192,Very Cheap
Aruba                           ,ABW,2019,106310.0,31135.9,17656.8,3.907,1406.5,4.5172935421812115,Very Cheap
Aruba                           ,ABW,2020,106766.0,23384.3,15279.1,4.138,1489.7,6.3705135496893215,Very Cheap
Australia                       ,AUS,2017,24601860.0,53934.3,30391.3,2.259,813.2,1.5077603677066356,Very Cheap
Australia                       ,AUS,2018,24982688.0,57180.8,32010.3,2.273,818.3,1.43107476635514,Very Cheap
Australia                       ,AUS,2019,25365745.0,54875.3,30041.7,2.325,837.0,1.5252763994000944,Very Cheap
Australia                       ,AUS,2020,25693267.0,51680.3,27360.1,2.561,922.0,1.7840453712536497,Very Cheap
Austria                         ,AUT,2017,8797566.0,47429.2,24904.6,2.772,997.9,2.1039781400487465,Very Cheap
