country,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet
Albania                         ,2017,2873457.0,4531.0,3607.1,3.952,1422.7
Albania                         ,2018,2866376.0,5287.7,4182.9,4.051,1458.4
Albania                         ,2019,2854191.0,5396.2,4317.0,4.117,1482.1
Albania                         ,2020,2837849.0,5332.2,4294.8,4.197,1510.9
Algeria                         ,2017,41389174.0,4109.7,1749.2,3.763,1354.7
Algeria                         ,2018,42228415.0,4142.0,1740.3,3.822,1375.9
Algeria                         ,2019,43053054.0,3989.7,1729.4,3.796,1366.6
Algeria                         ,2020,43851043.0,3306.9,1593.6,3.76,1353.6
Angola                          ,2017,29816769.0,2313.2,1322.8,4.327,1557.7
Angola                          ,2018,30809787.0,2524.9,1423.1,4.293,1545.5
Angola                          ,2019,31825299.0,2177.8,1087.5,4.352,1566.7
Angola                          ,2020,32866268.0,1631.4,926.8,4.534,1632.2
Antigua and Barbuda             ,2017,95425.0,15383.6,9119.0,4.112,1480.3
Antigua and Barbuda             ,2018,96282.0,16679.6,8874.4,4.302,1548.7
Antigua and Barbuda             ,2019,97115.0,17376.6,8523.0,4.391,1580.8
Antigua and Barbuda             ,2020,97928.0,13992.7,8409.1,4.504,1621.4
Argentina                       ,2017,44044811.0,14613.0,9752.7,3.341,1202.8
Armenia                         ,2017,2944789.0,3914.5,3132.8,3.096,1114.6
Armenia                         ,2018,2951741.0,4220.5,3368.0,3.166,1139.8
Armenia                         ,2019,2957728.0,4604.6,3842.1,3.237,1165.3
Armenia                         ,2020,2963234.0,4266.0,3216.4,3.247,1168.9
Aruba                           ,2017,105361.0,29348.4,16182.7,3.418,1230.5
Aruba                           ,2018,105846.0,30253.7,16847.5,3.62,1303.2
Aruba                           ,2019,106310.0,31135.9,17656.8,3.907,1406.5
Aruba                           ,2020,106766.0,23384.3,15279.1,4.138,1489.7
Australia                       ,2017,24601860.0,53934.3,22204.025,2.259,813.2
Australia                       ,2018,24982688.0,54367.0125,22204.025,2.273,818.3
Australia                       ,2019,25365745.0,54367.0125,22204.025,2.325,837.0
Australia                       ,2020,25693267.0,51680.3,22204.025,2.561,922.0
Austria                         ,2017,8797566.0,47429.2,22204.025,2.772,997.9
Austria                         ,2018,8840521.0,51486.6,22204.025,2.848,1025.3
Austria                         ,2019,8879920.0,50114.4,22204.025,2.818,1014.5
Austria                         ,2020,8916864.0,48588.7,22204.025,2.981,1073.2
Azerbaijan                      ,2017,9854033.0,4147.1,2388.2,2.348,845.3
Azerbaijan                      ,2018,9939771.0,4739.8,2566.2,2.399,863.6
Azerbaijan                      ,2019,10024283.0,4805.8,2763.6,2.459,885.2
Azerbaijan                      ,2020,10093121.0,4229.9,2575.4,2.533,911.9
Bahrain                         ,2017,1494077.0,23742.9,9961.9,3.379,1216.4
Bahrain                         ,2018,1569440.0,24086.3,9815.3,3.463,1246.7
Bahrain                         ,2019,1641164.0,23552.4,9515.7,3.573,1286.3
Bahrain                         ,2020,1701583.0,20406.5,8572.2,3.835,1380.6
Bangladesh                      ,2017,74168669.625,1839.6,1230.9,2.882,1037.5
Bangladesh                      ,2018,74168669.625,1991.5,1346.0,2.971,1069.6
Bangladesh                      ,2019,74168669.625,2154.2,1440.7,3.024,1088.6
Bangladesh                      ,2020,74168669.625,2270.3,1520.0,3.064,1103.0
Belarus                         ,2017,9458989.0,5785.7,3150.6,3.177,1143.7
Belarus                         ,2018,9438785.0,6360.1,3406.0,3.228,1162.1
Belarus                         ,2019,9419758.0,6837.7,3689.9,3.31,1191.6
Belarus                         ,2020,9379952.0,6555.4,3424.2,3.31,1191.6
Belgium                         ,2017,11375158.0,44198.5,22204.025,2.862,1030.3
Belgium                         ,2018,11427054.0,47549.2,22204.025,2.962,1066.3
Belgium                         ,2019,11488980.0,46599.1,22204.025,2.943,1059.5
Belgium                         ,2020,11544241.0,45189.4,22204.025,3.13,1126.8
Belize                          ,2017,375775.0,4909.6,3542.5,2.476,891.4
Belize                          ,2018,383071.0,4927.2,3513.1,2.321,835.6
Belize                          ,2019,390351.0,4983.3,3386.7,2.221,799.6
Belize                          ,2020,397621.0,3987.8,2982.4,2.14,770.4
Benin                           ,2017,11175192.0,1136.6,825.5,3.55,1278.0
Benin                           ,2018,11485035.0,1241.8,874.9,3.67,1321.2
Benin                           ,2019,11801151.0,1219.5,834.7,3.664,1319.0
Benin                           ,2020,12123198.0,1291.0,878.6,3.707,1334.5
Bermuda                         ,2017,63873.0,54367.0125,22204.025,4.072,1465.9
Bermuda                         ,2018,63918.0,54367.0125,22204.025,3.842,1383.1
Bermuda                         ,2019,63911.0,54367.0125,22204.025,3.788,1363.7
Bermuda                         ,2020,63893.0,54367.0125,22204.025,3.616,1301.8
Bhutan                          ,2017,745563.0,3286.6,1718.5,4.383,1577.9
Bhutan                          ,2018,754396.0,3243.5,1876.2,4.587,1651.3
Bhutan                          ,2019,763094.0,3322.9,1931.0,4.712,1696.3
Bhutan                          ,2020,771612.0,3000.8,1860.5,5.029,1810.4
Bolivia                         ,2017,11192853.0,3351.1,2267.2,3.551,1278.4
